Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional,season
17,Jin Muk Lim,19,0,0,,24.55,4,0,2,0,0,0,3.2,10,11,10,0,5,0,3,1,0,1,28,4.091,24.5,0,12.3,7.4,0.6,player.fcgi?id=lim---001jin,2025
18,Seok Ju Oh,27,2,1,0.6666666666666666,3.7,53,0,15,0,0,0,58.1,52,24,24,4,29,0,44,7,0,3,252,1.389,8,0.6,4.5,6.8,1.52,player.fcgi?id=ok----000seo,2025
19,Jeong Hun Park,19,0,1,0,7.43,16,3,8,0,0,1,23,24,24,19,1,20,0,7,4,0,3,116,1.913,9.4,0.4,7.8,2.7,0.35,player.fcgi?id=park--008jeo,2025
20,Ju Seong Park,24,2,3,0.4,6.58,18,6,5,0,0,0,52,63,40,38,9,16,0,26,3,0,2,235,1.519,10.9,1.6,2.8,4.5,1.63,player.fcgi?id=park--004joo,2025
21,Yun Sung Park,21,0,5,0,4.53,54,0,11,0,0,1,51.2,55,31,26,9,19,0,40,1,1,4,226,1.432,9.6,1.6,3.3,7,2.11,player.fcgi?id=park--001yun,2025
22,Kenny Rosenberg,29,4,4,0.5,3.23,13,13,0,0,0,0,75.1,63,33,27,5,25,0,80,4,0,2,320,1.168,7.5,0.6,3,9.6,3.2,player.fcgi?id=rosenb000ken,2025
23,Him Chan Son,22,0,0,,11.25,4,0,2,0,0,0,4,5,5,5,0,4,0,4,1,0,1,22,2.25,11.3,0,9,9,1,player.fcgi?id=son---000him,2025
24,Hyeon Gi Son,19,0,0,,15,2,0,0,0,0,0,3,4,5,5,1,6,0,1,1,0,1,18,3.333,12,3,18,3,0.17,player.fcgi?id=son---002hye,2025
25,Lachlan Wells,28,1,1,0.5,3.15,4,4,0,0,0,0,20,18,8,7,0,6,0,16,1,0,0,85,1.2,8.1,0,2.7,7.2,2.67,player.fcgi?id=wells-000lac,2025
26,Jong-hyeon Won,37,2,4,0.3333333333333333,6.13,61,0,13,0,0,5,54.1,68,42,37,5,18,2,40,3,0,6,248,1.583,11.3,0.8,3,6.6,2.22,player.fcgi?id=won---000jon,2025
27,Gi-hyun Yang,26,0,2,0,8.36,18,0,4,0,0,0,14,18,13,13,3,7,0,10,3,0,1,69,1.786,11.6,1.9,4.5,6.4,1.43,player.fcgi?id=yang--000gi-,2025
28,Hyun Yoon,18,2,1,0.6666666666666666,8.59,17,3,0,0,0,0,22,31,28,21,2,23,0,15,5,0,5,125,2.455,12.7,0.8,9.4,6.1,0.65,player.fcgi?id=yoon--000hyu,2025
29,Seok Won Yun,21,1,1,0.5,5.54,37,0,10,0,0,0,37.1,41,23,23,3,12,2,27,2,0,0,160,1.42,9.9,0.7,2.9,6.5,2.25,player.fcgi?id=yun---006seo,2025
