Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional,season
1,Woo Jin An,22,15,8,0.6521739130434783,2.11,30,30,1,1,0,0,196,131,51,46,4,55,1,224,4,1,7,766,0.949,6,0.2,2.5,10.3,4.07,player.fcgi?id=ahn---000woo,2022
2,Won Tae Choi,25,7,5,0.5833333333333334,3.75,26,20,0,0,0,0,105.2,93,50,44,5,40,0,63,5,0,5,446,1.259,7.9,0.4,3.4,5.4,1.58,player.fcgi?id=choi--003won,2022
3,Tyler Eppler,29,6,8,0.4285714285714285,4.3,33,25,2,1,1,0,140.1,172,69,67,13,40,1,86,6,0,4,622,1.511,11,0.8,2.6,5.5,2.15,player.fcgi?id=eppler000tyl,2022
4,Yeong Min Ha,27,5,3,0.625,3.43,41,0,17,0,0,0,39.1,35,27,15,4,21,0,23,0,0,2,178,1.424,8,0.9,4.8,5.3,1.1,player.fcgi?id=ha----000yeo,2022
5,Hyun Hee Han,29,6,4,0.6,4.75,21,14,0,0,0,0,77.2,83,44,41,9,24,0,59,8,0,2,346,1.378,9.6,1,2.8,6.8,2.46,player.fcgi?id=han---000hyu,2022
6,Jae Young Jang,20,0,0,,7.71,14,0,3,0,0,0,14,23,12,12,2,7,0,19,1,0,1,70,2.143,14.8,1.3,4.5,12.2,2.71,player.fcgi?id=jang--004jae,2022
7,Chan Heon Jeong,32,5,6,0.4545454545454545,5.36,20,20,0,0,0,0,87.1,106,55,52,13,28,2,42,6,0,3,390,1.534,10.9,1.3,2.9,4.3,1.5,player.fcgi?id=jeong-000cha,2022
8,Eric Jokisch,32,10,8,0.5555555555555556,2.57,30,30,0,0,0,0,185.1,169,61,53,8,33,0,154,5,0,2,746,1.09,8.2,0.4,1.6,7.5,4.67,player.fcgi?id=jokisc001eri,2022
9,Seung Woo Ju,22,0,0,,10.8,4,1,1,0,0,0,3.1,5,5,4,1,7,0,4,0,0,0,23,3.6,13.5,2.7,18.9,10.8,0.57,player.fcgi?id=ju----000seu,2022
10,Dong Hyeok Kim,20,2,1,0.6666666666666666,4.73,24,0,6,0,0,0,26.2,28,14,14,0,11,2,18,1,0,1,115,1.463,9.5,0,3.7,6.1,1.64,player.fcgi?id=kim---022don,2022
11,Jae Woong Kim,23,3,2,0.6,2.01,65,0,18,0,0,13,62.2,39,14,14,4,29,2,56,4,0,4,254,1.085,5.6,0.6,4.2,8,1.93,player.fcgi?id=kim---029jae,2022
12,Joon Hyoung Kim,19,0,1,0,2.03,12,0,2,0,0,0,13.1,9,3,3,0,13,0,6,2,0,3,61,1.65,6.1,0,8.8,4.1,0.46,player.fcgi?id=kim---007joo,2022
13,Seon Gi Kim,30,3,1,0.75,5.15,26,2,4,0,0,1,36.2,39,24,21,1,19,1,30,2,0,1,167,1.582,9.6,0.2,4.7,7.4,1.58,player.fcgi?id=kim---001seo,2022
14,Seong Jin Kim,24,0,2,0,7.89,23,0,8,0,0,0,21.2,31,25,19,3,10,0,16,3,0,0,105,1.892,12.9,1.2,4.2,6.6,1.6,player.fcgi?id=kim---048seo,2022
15,Tae Hoon Kim,30,3,2,0.6,3.14,43,0,12,0,0,9,43,40,18,15,3,20,2,34,2,0,2,188,1.395,8.4,0.6,4.2,7.1,1.7,player.fcgi?id=kim---016don,2022
16,Myeong Jong Lee,19,4,1,0.8,5.27,27,0,6,0,0,0,27.1,28,17,16,3,16,1,20,2,0,1,126,1.61,9.2,1,5.3,6.6,1.25,player.fcgi?id=lee---005mye,2022
17,Seung Ho Lee,23,3,2,0.6,3.58,53,0,15,0,0,10,50.1,44,20,20,7,27,1,44,3,0,6,215,1.411,7.9,1.3,4.8,7.9,1.63,player.fcgi?id=lee---015seu,2022
18,Young Jun Lee,30,2,2,0.5,4.29,26,0,6,0,0,0,21,27,12,10,0,13,1,16,2,0,1,102,1.905,11.6,0,5.6,6.9,1.23,player.fcgi?id=lee---001you,2022
19,Sung Hyun Moon,30,0,1,0,3.27,45,0,15,0,0,13,41.1,34,16,15,3,14,0,32,1,0,2,168,1.161,7.4,0.7,3,7,2.29,player.fcgi?id=moon--001sun,2022
20,Un Hyun Noh,19,0,1,0,11.25,5,0,1,0,0,0,4,10,7,5,0,3,0,3,1,0,1,28,3.25,22.5,0,6.8,6.8,1,player.fcgi?id=noh---000unh,2022
21,Ju Seong Park,21,1,1,0.5,5.54,11,0,7,0,0,0,13,11,9,8,4,7,1,8,3,0,0,61,1.385,7.6,2.8,4.8,5.5,1.14,player.fcgi?id=park--004joo,2022
22,Seung Joo Park,28,1,0,1,4.32,27,0,11,0,0,0,25,20,12,12,3,21,0,22,3,0,2,116,1.64,7.2,1.1,7.6,7.9,1.05,player.fcgi?id=park--001seu,2022
23,Jung In Song,19,0,0,,22.5,1,0,0,0,0,0,2,4,5,5,0,3,0,0,0,0,0,13,3.5,18,0,13.5,0,0,player.fcgi?id=song--001jun,2022
24,Hyun Yang,29,3,2,0.6,5.15,25,0,7,0,0,2,36.2,39,23,21,4,17,2,14,1,0,1,167,1.527,9.6,1,4.2,3.4,0.82,player.fcgi?id=yang--000hyu,2022
25,Jeong-Hyeon Yoon,29,1,1,0.5,6.35,17,2,2,0,0,0,22.2,27,17,16,2,12,1,17,5,0,0,106,1.721,10.7,0.8,4.8,6.8,1.42,player.fcgi?id=yoon--001jeo,2022
1,Woo Jin An,23,9,7,0.5625,2.39,24,24,0,0,0,0,150.2,121,44,40,5,38,1,164,1,0,8,608,1.055,7.2,0.3,2.3,9.8,4.32,player.fcgi?id=ahn---000woo,2023
