Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional,season
24,Byung-Wook Lim,28,42,92,87,14,21,3,0,3,10,1,0,4,32,0.241,0.272,0.379,0.651,33,1,0,0,1,0,player.fcgi?id=lim---000byu,2024
25,Ju Hong Park,23,25,59,49,5,5,2,0,0,1,2,0,10,17,0.102,0.254,0.143,0.397,7,1,0,0,0,0,player.fcgi?id=park--000juh,2024
26,Jun Hyeong Park,25,4,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,player.fcgi?id=park--009jun,2024
27,Seong Bhin Park,20,12,11,9,1,2,1,0,0,2,0,0,1,2,0.222,0.364,0.333,0.697,3,0,1,0,0,0,player.fcgi?id=park--005seo,2024
28,Soo Jong Park,25,80,148,129,23,33,5,1,0,6,3,0,13,17,0.256,0.333,0.31,0.643,40,4,2,4,0,0,player.fcgi?id=park--000soo,2024
29,Ji Hoo Song,19,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player.fcgi?id=song--000jih,2024
30,Sung Mun Song,27,142,602,527,88,179,29,4,19,104,21,0,64,82,0.34,0.409,0.518,0.927,273,5,3,0,8,2,player.fcgi?id=song--000sun,2024
31,Sung Jun Won,24,51,125,112,12,28,5,0,2,11,2,0,10,36,0.25,0.306,0.348,0.655,39,2,0,1,2,0,player.fcgi?id=won---000sun,2024
32,Jin Won Ye,25,22,21,19,2,4,1,0,0,0,0,0,2,8,0.211,0.286,0.263,0.549,5,1,0,0,0,0,player.fcgi?id=ye----000jin,2024
1,Sang Kwon Byeon,28,12,20,19,2,5,2,0,0,4,0,0,0,2,0.263,0.25,0.368,0.618,7,0,0,0,1,0,player.fcgi?id=byeon-000san,2025
2,Ruben Cardenas,27,86,361,320,33,81,15,1,7,42,1,2,32,67,0.253,0.33,0.372,0.702,119,7,6,0,3,2,player.fcgi?id=carden000rub,2025
3,Joo Hwan Choi,37,120,506,459,45,126,31,1,12,74,0,0,36,66,0.275,0.33,0.425,0.755,195,8,5,0,6,2,player.fcgi?id=choi--000ju-,2025
4,Joon Seo Eo,18,116,360,324,48,77,9,1,6,27,1,0,30,75,0.238,0.305,0.327,0.632,106,10,2,3,1,1,player.fcgi?id=eo----000joo,2025
5,Stone Garrett,29,22,93,87,4,21,0,0,2,15,0,0,5,24,0.241,0.28,0.31,0.59,27,2,0,0,1,0,player.fcgi?id=garret000sto,2025
6,Hyuk Bin Gwok,19,22,24,20,1,2,0,0,0,1,0,0,2,7,0.1,0.182,0.1,0.282,2,1,0,2,0,0,player.fcgi?id=gwok--000hyu,2025
7,Ji Yeol Im,29,102,417,369,51,90,14,2,11,50,13,6,42,111,0.244,0.322,0.382,0.704,141,11,2,1,3,0,player.fcgi?id=lim---001ji-,2025
8,Jae Young Jang,23,10,16,14,1,2,0,0,0,2,1,0,2,7,0.143,0.25,0.143,0.393,2,0,0,0,0,0,player.fcgi?id=jang--004jae,2025
9,Tae Hyun Jeon,19,77,207,182,20,42,5,0,0,10,4,0,20,59,0.231,0.304,0.258,0.562,47,2,0,3,2,0,player.fcgi?id=jeon--000tae,2025
10,Seong Won Ju,24,58,174,156,21,39,6,0,1,12,4,0,13,45,0.25,0.322,0.308,0.63,48,2,4,0,1,0,player.fcgi?id=jung--000son,2025
11,Jin Sung Kang,31,6,13,11,1,2,0,0,0,1,0,0,2,1,0.182,0.308,0.182,0.49,2,2,0,0,0,0,player.fcgi?id=kang--001jin,2025
12,Byeong Hwi Kim,24,7,6,4,2,1,0,0,0,0,0,0,2,1,0.25,0.5,0.25,0.75,1,0,0,0,0,0,player.fcgi?id=kim---007bye,2025
13,Dong Heon Kim,20,49,91,82,8,22,3,0,0,8,0,0,7,23,0.268,0.33,0.305,0.635,25,0,1,0,1,0,player.fcgi?id=kim---028don,2025
14,Dong-Yub Kim,34,9,29,27,2,6,2,0,0,2,0,0,2,11,0.222,0.276,0.296,0.572,8,1,0,0,0,0,player.fcgi?id=kim---014don,2025
15,Gun Hee Kim,20,105,344,322,24,78,20,2,3,25,2,1,13,102,0.242,0.27,0.345,0.615,111,10,0,7,2,0,player.fcgi?id=kim---000gun,2025
16,Jae Hyun Kim,32,62,128,120,12,25,5,0,0,5,1,0,1,31,0.208,0.234,0.25,0.484,30,1,3,4,0,0,player.fcgi?id=kim---019jae,2025
17,Tae Jin Kim,29,94,304,279,27,65,11,2,5,25,1,1,20,53,0.233,0.281,0.341,0.622,95,6,0,2,3,1,player.fcgi?id=kim---020tae,2025
18,Woong Bin Kim,29,10,31,24,1,2,0,0,0,0,0,0,6,7,0.083,0.267,0.083,0.35,2,2,0,1,0,0,player.fcgi?id=kim---000woo,2025
19,Young Woo Ko,24,14,26,23,4,5,1,0,0,2,0,0,2,6,0.217,0.28,0.261,0.541,6,2,0,1,0,0,player.fcgi?id=ko----001you,2025
20,Hyung Jong Lee,36,33,82,70,4,14,3,0,2,6,1,0,9,22,0.2,0.3,0.329,0.629,23,3,1,2,0,0,player.fcgi?id=lee---005hye,2025
21,Jae Sang Lee,20,2,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,0,0,0,0,0,player.fcgi?id=lee---024jae,2025
22,Ju Hyeong Lee,22,11,17,16,2,5,0,0,0,2,0,0,1,7,0.313,0.353,0.313,0.665,5,0,0,0,0,0,player.fcgi?id=lee---001juh,2025
23,Ju Hyoung Lee,24,127,514,446,55,107,22,1,11,45,15,1,37,115,0.24,0.337,0.368,0.704,164,7,28,3,0,2,player.fcgi?id=lee---000juh,2025
24,Seung Won Lee,20,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player.fcgi?id=lee---025seu,2025
25,Won Seok Lee,38,5,8,7,1,1,0,0,0,0,0,0,1,2,0.143,0.25,0.143,0.393,1,1,0,0,0,0,player.fcgi?id=lee---004won,2025
26,Yong Kyu Lee,39,14,41,37,7,8,1,0,0,0,1,0,3,8,0.216,0.275,0.243,0.518,9,1,0,1,0,0,player.fcgi?id=lee---001yon,2025
27,Byung-Wook Lim,29,52,140,133,12,31,4,3,2,13,1,0,5,33,0.233,0.259,0.353,0.612,47,3,0,1,1,0,player.fcgi?id=lim---000byu,2025
28,Sun Jin Oh,35,99,163,143,15,34,8,0,1,19,0,0,12,45,0.238,0.308,0.315,0.623,45,2,3,4,1,0,player.fcgi?id=oh----000seo,2025
29,Ju Hong Park,24,102,283,248,33,56,11,3,3,23,11,1,30,72,0.226,0.31,0.331,0.64,82,5,1,2,2,0,player.fcgi?id=park--000juh,2025
30,Soo Jong Park,26,38,45,42,6,6,0,0,1,2,1,0,3,12,0.143,0.2,0.214,0.414,9,0,0,0,0,0,player.fcgi?id=park--000soo,2025
31,Yasiel Puig,34,40,172,156,17,33,2,0,6,20,0,0,12,38,0.212,0.285,0.34,0.625,53,1,4,0,0,0,player.fcgi?id=puig--000yas,2025
32,Yoo Sin Seo,24,6,8,7,0,0,0,0,0,0,0,0,1,4,0,0.125,0,0.125,0,0,0,0,0,0,player.fcgi?id=seo---000yoo,2025
33,Ji Hoo Song,20,33,86,80,5,14,3,0,1,8,0,1,3,18,0.175,0.221,0.25,0.471,20,3,2,0,1,0,player.fcgi?id=song--000jih,2025
34,Sung Mun Song,28,144,646,574,103,181,37,4,26,90,25,2,68,96,0.315,0.387,0.53,0.917,304,6,1,0,3,5,player.fcgi?id=song--000sun,2025
35,Sung Jun Won,25,24,53,46,5,8,1,0,2,4,0,0,7,18,0.174,0.283,0.326,0.609,15,1,0,0,0,0,player.fcgi?id=won---000sun,2025
36,Hyun Jong Yang,18,12,14,12,1,1,0,0,0,0,0,0,2,5,0.083,0.214,0.083,0.298,1,0,0,0,0,0,player.fcgi?id=yang--001hyu,2025
37,Dong Uk Yeo,19,28,61,53,6,7,1,0,2,2,0,0,7,21,0.132,0.233,0.264,0.497,14,2,0,1,0,0,player.fcgi?id=yeo---000don,2025
38,Seung Won Yum,19,11,21,19,2,4,0,0,0,1,0,0,1,6,0.211,0.238,0.211,0.449,4,0,0,0,1,0,player.fcgi?id=yum---000seu,2025
